domain,currency,title,mpn,price,sku,url,buy_gbp,n_raw,n_exact,ebay_p25_gbp,cm_gbp,status
www.serverpartdeals.com,USD,PNY NVIDIA RTX A4000 VCNRTXA4000 16GB GDDR6 PCIe 4.0 x16 Refurbished Professional Workstation Graphics Card,VCNRTXA4000,799.0,PNY-NVIDIA-A4000-16G_SR,https://www.serverpartdeals.com/products/pny-nvidia-rtx-a4000-vcnrtxa4000-16gb-gddr6-pcie-4-0-x16-refurbished-professional-workstation-graphics-card,585.09,3,1,791.24,128.28,PASS
www.serverpartdeals.com,USD,Western Digital Ultrastar DC HC580 WUH722424AL5201 0F62801 24TB 7.2K RPM SAS 12Gb/s 512e 512MB 3.5in Recertified HDD,WUH722424AL5201,799.0,WUH722424AL5201-0F62801_MR,https://www.serverpartdeals.com/products/western-digital-ultrastar-dc-hc580-wuh722424al5201-0f62801-24tb-7-2k-rpm-sas-12gb-s-512e-512mb-3-5-recertified-hdd,585.09,0,0,,,NO_MPN_MATCH
www.tier1online.com,USD,"HP ZBook Firefly 14 G10 i7-1355U [10-core] 3.70GHz 14"" WUXGA (1920x1200) IPS HDMI USB-C IR Cam 32GB DDR5 512GB NVMe Refurbished",I7-1355U,799.0,1-Firefly-14-G10-B,https://www.tier1online.com/products/hp-zbook-firefly-14-g10-i7-1355u-14-32gb-512gb-nvme-grade-b,585.09,50,45,309.0,-314.94,REJECT_CM
www.itinstock.com,GBP,"Fujitsu Eternus DX S3/S4/S5 3.84TB 12G SAS TLC RI 2.5"" SFF SSD CA08226-E906",CA08226-E906,779.0,CA08226-E906/USED,https://www.itinstock.com/products/fujitsu-3-84tb-12g-sas-tlc-ri-2-5-sff-ssd-ca08226-e906-ca46233-1852-px05srb384,779.0,1,1,984.0,111.53,PASS
www.itinstock.com,GBP,NEW CPI ZetaFrame 45U Server Rack Cabinet Enclosure 600W x 1200D TSZ1535987,TSZ1535987,760.0,TSZ1535987/NEW,https://www.itinstock.com/products/new-cpi-zetaframe-45u-server-rack-cabinet-enclosure-600w-x-1200d-tsz1535987,760.0,1,1,960.0,108.47,PASS
www.itinstock.com,GBP,Cisco C9400-LC-48P Catalyst 9400 Series 48x 1G Base-T RJ45 Switch Line Card,C9400-LC-48P,760.0,C9400-LC-48P/REF,https://www.itinstock.com/products/cisco-c9400-lc-48p-catalyst-9400-series-48x-1g-base-t-rj45-switch-line-card,760.0,2,2,76.12,-703.88,REJECT_CM
www.itinstock.com,GBP,"New Dell 800GB SAS 24G Enterprise Class Mixed Use 2.5"" SSD 3CHC8 MZ-ILG8000",MZ-ILG8000,760.0,3CHC8/NEW,https://www.itinstock.com/products/new-dell-800gb-sas-24g-enterprise-class-mixed-use-2-5-ssd-3chc8-mz-ilg8000,760.0,1,1,250.0,-544.07,REJECT_CM
www.itinstock.com,GBP,Arista Metamako FAN-7130-1U-R 7130 Series 1U Rear-to-Front Airflow Fan Module,FAN-7130-1U-R,760.0,FAN-7130-1U-R/REF,https://www.itinstock.com/products/arista-metamako-fan-7130-1u-r-7130-series-1u-rear-to-front-airflow-fan-module,760.0,1,1,960.0,108.47,PASS
www.itinstock.com,GBP,New HPE P9K04A 22U 600mm 1075mm G2 Kit Advanced Pallet Rack Cabinet 863286-001,P9K04A,760.0,P9K04A/NEW,https://www.itinstock.com/products/new-hpe-p9k04a-22u-600mm-1075mm-g2-kit-advanced-pallet-rack-cabinet-863286-001,760.0,1,1,960.0,108.47,PASS
www.itinstock.com,GBP,Fujitsu DX S3 S4 MLC SSD SAS 3.84TB 12G 3.5 CA07670-E236 10602115739 38049310,CA07670-E236,760.0,CA07670-E236/REF,https://www.itinstock.com/products/fujitsu-dx-s3-s4-mlc-ssd-sas-3-84tb-12g-3-5-ca07670-e236-10602115739-38049311,760.0,1,1,960.0,108.47,PASS
www.tier1online.com,USD,"Dell Latitude 5450 Intel Core Ultra 5 135U [12-Core] 14"" FHD IPS HDMI USB-C IR CAM 16GB DDR5 512GB NVMe Refurbished",12-CORE,749.0,292-Latitude-5450-B,https://www.tier1online.com/products/dell-latitude-5450-intel-core-ultra-5-135u-14-16gb-ddr5-512gb-nvme-grade-b,548.48,50,25,150.0,-424.46,REJECT_CM
